pau 
sil 
a durfloor 0.05
o durfloor 0.05
7 durfloor 0.05
i durfloor 0.05
u durfloor 0.05
y durfloor 0.05
@` durfloor 0.05
i\ durfloor 0.05
i` durfloor 0.05
aI durfloor 0.05
ei durfloor 0.05
AU durfloor 0.05
@U durfloor 0.05
ia durfloor 0.05
iE_r durfloor 0.05
ua durfloor 0.05
uo durfloor 0.05
yE_r durfloor 0.05
iAU durfloor 0.05
i@U durfloor 0.05
uaI durfloor 0.05
uei durfloor 0.05
a_n durfloor 0.05
@_n durfloor 0.05
i_n durfloor 0.05
iE_n durfloor 0.05
ua_n durfloor 0.05
u@_n durfloor 0.05
y_n durfloor 0.05
y{_n durfloor 0.05
AN durfloor 0.05
@N durfloor 0.05
iN durfloor 0.05
iAN durfloor 0.05
uAN durfloor 0.05
u@N durfloor 0.05
UN durfloor 0.05
iUN durfloor 0.05
p durceil 0.3
p_h durceil 0.3
m durceil 0.3
f durceil 0.3
t durceil 0.3
t_h durceil 0.3
n durceil 0.3
l durceil 0.3
k durceil 0.3
k_h durceil 0.3
x durceil 0.3
ts\ durceil 0.3
ts\_h durceil 0.3
s\ durceil 0.3
ts` durceil 0.3
ts`_h durceil 0.3
s` durceil 0.3
z` durceil 0.3
ts durceil 0.3
ts_h durceil 0.3
s durceil 0.3
